,SNWD,WTEQ,date,year,month,day
0,0.0,0.0,2014-11-01,2014,11,1
1,2.0,0.2,2014-11-02,2014,11,2
2,3.0,0.5,2014-11-03,2014,11,3
3,4.0,0.6,2014-11-04,2014,11,4
4,7.0,2.1,2014-11-05,2014,11,5
5,6.0,2.1,2014-11-06,2014,11,6
6,5.0,1.9,2014-11-07,2014,11,7
7,5.0,1.8,2014-11-08,2014,11,8
8,4.0,1.8,2014-11-09,2014,11,9
9,16.0,2.8,2014-11-10,2014,11,10
10,15.0,2.8,2014-11-11,2014,11,11
11,15.0,2.8,2014-11-12,2014,11,12
12,14.0,2.8,2014-11-13,2014,11,13
13,14.0,2.8,2014-11-14,2014,11,14
14,13.0,2.8,2014-11-15,2014,11,15
15,13.0,2.9,2014-11-16,2014,11,16
16,13.0,2.9,2014-11-17,2014,11,17
17,13.0,3.0,2014-11-18,2014,11,18
18,13.0,3.0,2014-11-19,2014,11,19
19,13.0,3.1,2014-11-20,2014,11,20
20,14.0,3.3,2014-11-21,2014,11,21
21,15.0,3.6,2014-11-22,2014,11,22
22,19.0,4.5,2014-11-23,2014,11,23
23,22.0,5.0,2014-11-24,2014,11,24
24,27.0,5.5,2014-11-25,2014,11,25
25,28.0,5.8,2014-11-26,2014,11,26
26,32.0,6.9,2014-11-27,2014,11,27
27,31.0,8.0,2014-11-28,2014,11,28
28,34.0,9.2,2014-11-29,2014,11,29
29,35.0,9.3,2014-11-30,2014,11,30
30,35.0,9.3,2014-12-01,2014,12,1
31,35.0,9.4,2014-12-02,2014,12,2
32,34.0,9.4,2014-12-03,2014,12,3
33,33.0,9.4,2014-12-04,2014,12,4
34,33.0,9.7,2014-12-05,2014,12,5
35,37.0,10.1,2014-12-06,2014,12,6
36,39.0,10.9,2014-12-07,2014,12,7
37,38.0,10.9,2014-12-08,2014,12,8
38,38.0,10.9,2014-12-09,2014,12,9
39,37.0,11.0,2014-12-10,2014,12,10
40,35.0,11.0,2014-12-11,2014,12,11
41,34.0,11.0,2014-12-12,2014,12,12
42,33.0,10.9,2014-12-13,2014,12,13
43,35.0,11.1,2014-12-14,2014,12,14
44,34.0,11.1,2014-12-15,2014,12,15
45,33.0,11.0,2014-12-16,2014,12,16
46,32.0,10.9,2014-12-17,2014,12,17
47,33.0,11.0,2014-12-18,2014,12,18
48,37.0,11.5,2014-12-19,2014,12,19
49,40.0,12.1,2014-12-20,2014,12,20
50,42.0,12.6,2014-12-21,2014,12,21
51,45.0,13.0,2014-12-22,2014,12,22
52,44.0,13.0,2014-12-23,2014,12,23
53,47.0,13.4,2014-12-24,2014,12,24
54,53.0,14.2,2014-12-25,2014,12,25
55,51.0,14.2,2014-12-26,2014,12,26
56,50.0,14.2,2014-12-27,2014,12,27
57,62.0,15.1,2014-12-28,2014,12,28
58,61.0,15.1,2014-12-29,2014,12,29
59,59.0,15.1,2014-12-30,2014,12,30
60,57.0,15.1,2014-12-31,2014,12,31
61,56.0,15.1,2015-01-01,2015,1,1
62,54.0,15.1,2015-01-02,2015,1,2
63,53.0,15.1,2015-01-03,2015,1,3
64,58.0,15.5,2015-01-04,2015,1,4
65,64.0,16.1,2015-01-05,2015,1,5
66,65.0,17.0,2015-01-06,2015,1,6
67,62.0,17.2,2015-01-07,2015,1,7
68,60.0,17.2,2015-01-08,2015,1,8
69,60.0,17.2,2015-01-09,2015,1,9
70,59.0,17.2,2015-01-10,2015,1,10
71,61.0,17.4,2015-01-11,2015,1,11
72,59.0,17.4,2015-01-12,2015,1,12
73,59.0,17.4,2015-01-13,2015,1,13
74,58.0,17.4,2015-01-14,2015,1,14
75,57.0,17.4,2015-01-15,2015,1,15
76,57.0,17.4,2015-01-16,2015,1,16
77,59.0,17.8,2015-01-17,2015,1,17
78,58.0,18.0,2015-01-18,2015,1,18
79,64.0,18.8,2015-01-19,2015,1,19
80,63.0,18.8,2015-01-20,2015,1,20
81,62.0,18.8,2015-01-21,2015,1,21
82,61.0,18.8,2015-01-22,2015,1,22
83,61.0,18.8,2015-01-23,2015,1,23
84,62.0,19.2,2015-01-24,2015,1,24
85,61.0,19.4,2015-01-25,2015,1,25
86,60.0,19.3,2015-01-26,2015,1,26
87,59.0,19.3,2015-01-27,2015,1,27
88,59.0,19.3,2015-01-28,2015,1,28
89,59.0,19.2,2015-01-29,2015,1,29
90,58.0,19.2,2015-01-30,2015,1,30
91,58.0,19.1,2015-01-31,2015,1,31
92,58.0,19.1,2015-02-01,2015,2,1
93,59.0,19.3,2015-02-02,2015,2,2
94,61.0,19.7,2015-02-03,2015,2,3
95,60.0,19.7,2015-02-04,2015,2,4
96,61.0,19.8,2015-02-05,2015,2,5
97,64.0,20.6,2015-02-06,2015,2,6
98,62.0,20.7,2015-02-07,2015,2,7
99,64.0,21.8,2015-02-08,2015,2,8
100,65.0,22.2,2015-02-09,2015,2,9
101,67.0,23.0,2015-02-10,2015,2,10
102,69.0,23.6,2015-02-11,2015,2,11
103,68.0,23.7,2015-02-12,2015,2,12
104,67.0,23.7,2015-02-13,2015,2,13
105,66.0,23.7,2015-02-14,2015,2,14
106,65.0,23.7,2015-02-15,2015,2,15
107,65.0,23.6,2015-02-16,2015,2,16
108,65.0,23.6,2015-02-17,2015,2,17
109,65.0,23.6,2015-02-18,2015,2,18
110,64.0,23.5,2015-02-19,2015,2,19
111,64.0,23.5,2015-02-20,2015,2,20
112,68.0,23.9,2015-02-21,2015,2,21
113,68.0,23.9,2015-02-22,2015,2,22
114,67.0,23.9,2015-02-23,2015,2,23
115,67.0,23.9,2015-02-24,2015,2,24
116,66.0,23.9,2015-02-25,2015,2,25
117,67.0,24.0,2015-02-26,2015,2,26
118,66.0,24.0,2015-02-27,2015,2,27
119,67.0,24.1,2015-02-28,2015,2,28
120,67.0,24.1,2015-03-01,2015,3,1
121,67.0,24.1,2015-03-02,2015,3,2
122,68.0,24.2,2015-03-03,2015,3,3
123,68.0,24.2,2015-03-04,2015,3,4
124,67.0,24.2,2015-03-05,2015,3,5
125,67.0,24.2,2015-03-06,2015,3,6
126,67.0,24.2,2015-03-07,2015,3,7
127,66.0,24.2,2015-03-08,2015,3,8
128,66.0,24.2,2015-03-09,2015,3,9
129,66.0,24.2,2015-03-10,2015,3,10
130,66.0,24.2,2015-03-11,2015,3,11
131,66.0,24.2,2015-03-12,2015,3,12
132,65.0,24.0,2015-03-13,2015,3,13
133,64.0,23.8,2015-03-14,2015,3,14
134,63.0,24.0,2015-03-15,2015,3,15
135,69.0,24.5,2015-03-16,2015,3,16
136,72.0,24.9,2015-03-17,2015,3,17
137,73.0,25.1,2015-03-18,2015,3,18
138,75.0,25.5,2015-03-19,2015,3,19
139,74.0,25.6,2015-03-20,2015,3,20
140,73.0,25.6,2015-03-21,2015,3,21
141,75.0,25.9,2015-03-22,2015,3,22
142,74.0,25.9,2015-03-23,2015,3,23
143,79.0,26.6,2015-03-24,2015,3,24
144,81.0,27.0,2015-03-25,2015,3,25
145,82.0,27.3,2015-03-26,2015,3,26
146,80.0,27.3,2015-03-27,2015,3,27
147,79.0,27.1,2015-03-28,2015,3,28
148,84.0,28.0,2015-03-29,2015,3,29
149,83.0,28.0,2015-03-30,2015,3,30
150,81.0,27.8,2015-03-31,2015,3,31
151,82.0,27.9,2015-04-01,2015,4,1
152,80.0,27.9,2015-04-02,2015,4,2
153,81.0,28.0,2015-04-03,2015,4,3
154,79.0,28.0,2015-04-04,2015,4,4
155,78.0,27.9,2015-04-05,2015,4,5
156,80.0,28.0,2015-04-06,2015,4,6
157,84.0,28.4,2015-04-07,2015,4,7
158,85.0,28.5,2015-04-08,2015,4,8
159,83.0,28.5,2015-04-09,2015,4,9
160,82.0,28.3,2015-04-10,2015,4,10
161,81.0,28.2,2015-04-11,2015,4,11
162,83.0,28.5,2015-04-12,2015,4,12
163,83.0,28.7,2015-04-13,2015,4,13
164,81.0,28.5,2015-04-14,2015,4,14
165,91.0,29.5,2015-04-15,2015,4,15
166,87.0,29.5,2015-04-16,2015,4,16
167,85.0,29.4,2015-04-17,2015,4,17
168,83.0,29.2,2015-04-18,2015,4,18
169,82.0,29.1,2015-04-19,2015,4,19
170,79.0,28.6,2015-04-20,2015,4,20
171,77.0,28.3,2015-04-21,2015,4,21
172,74.0,27.8,2015-04-22,2015,4,22
173,72.0,27.5,2015-04-23,2015,4,23
174,70.0,27.5,2015-04-24,2015,4,24
175,67.0,27.0,2015-04-25,2015,4,25
176,68.0,27.1,2015-04-26,2015,4,26
177,68.0,26.9,2015-04-27,2015,4,27
178,67.0,26.3,2015-04-28,2015,4,28
179,66.0,25.8,2015-04-29,2015,4,29
180,64.0,25.0,2015-04-30,2015,4,30
181,63.0,24.8,2015-05-01,2015,5,1
182,62.0,24.0,2015-05-02,2015,5,2
183,61.0,23.5,2015-05-03,2015,5,3
184,59.0,22.8,2015-05-04,2015,5,4
185,58.0,22.3,2015-05-05,2015,5,5
186,56.0,22.0,2015-05-06,2015,5,6
187,55.0,21.6,2015-05-07,2015,5,7
188,54.0,21.2,2015-05-08,2015,5,8
189,53.0,21.3,2015-05-09,2015,5,9
190,51.0,21.0,2015-05-10,2015,5,10
191,51.0,20.6,2015-05-11,2015,5,11
192,50.0,20.3,2015-05-12,2015,5,12
193,49.0,20.1,2015-05-13,2015,5,13
194,50.0,20.2,2015-05-14,2015,5,14
195,48.0,19.9,2015-05-15,2015,5,15
